gene_id	Ro	Le	Fl
Aco005890	0.0161518	110.845	125.689
Aco005891	30.4957	15.1326	14.9994
Aco005893	13.8315	71.7348	68.1603
Aco005894	23.4704	11.6718	10.045
Aco005895	9.19771	65.6527	56.7357
Aco005896	65.181	45.9602	50.7734
Aco005897	0.7340260000000001	0.0	0.276173
Aco005898	7.32885	8.27691	3.5874699999999997
Aco005899	1.7448	2.57999	2.53221
Aco005900	0.640239	0.714041	1.33762
Aco005901	2.99041	1.02345	0.846417
Aco005902	0.167765	0.0	0.0
Aco005904	0.985743	0.306839	0.34522800000000003
Aco005905	11.4357	4.7462	2.98989
Aco005906	24.8484	17.8145	17.3909
Aco005907	22.918000000000003	2.68628	3.4554400000000003
Aco005908	4.67011	6.826639999999999	6.240419999999999
Aco005909	11.2522	12.6595	11.5489
Aco005910	0.298754	1.61916	1.0313
Aco005911	0.258282	2.26416	2.74916
Aco005912	77.9794	7.73372	7.70065
Aco005913	222.468	49.4951	42.6947
Aco005914	305.08299999999997	88.458	110.59200000000001
Aco005915	94.5094	108.53	105.132
Aco005916	1.0858700000000001	325.639	322.377
Aco005917	0.462517	2.9411099999999997	2.01714
Aco005918	11.7405	9.78943	11.5844
Aco005919	71.7575	15.5275	14.2305
Aco005920	4.53469	0.0	0.3061
Aco005921	8.80251	5.93351	4.24182
Aco005922	22.8419	12.7608	11.2615
Aco005923	16.3968	28.9533	26.0558
Aco005924	0.380441	0.543453	0.33322399999999996
Aco005925	12.3247	4.17786	4.40351
Aco005926	2.15354	0.8976129999999999	2.09114
Aco005927	22.6176	28.5947	24.1736
Aco005928	0.606568	0.0753653	0.20188299999999998
Aco005929	15.0592	5.01871	7.69037
Aco005930	39.7009	22.1754	18.1727
Aco005931	101.721	2.80498	2.38766
Aco005933	18.4182	20.4779	24.5511
Aco005934	1.73029	41.3338	48.4107
Aco005935	0.37904699999999997	0.0	0.0
Aco005936	22.8417	2.50628	2.29762
Aco005937	23.8299	14.7295	19.8158
Aco005938	25.6609	26.511999999999997	29.1168
Aco005939	15.1321	3.42907	3.10757
Aco005940	13.7059	15.3467	17.8428
Aco005941	1.61776	2.7264	1.71933
Aco005942	0.8244389999999999	0.0	0.35209
Aco005943	4.89304	6.722980000000001	5.37665
Aco005944	10.9675	7.01133	8.07045
Aco005945	6.68325	66.4588	66.5728
Aco005946	115.581	142.92700000000002	127.935
Aco005947	63.067	322.819	287.145
Aco005948	33.3894	34.7939	33.2514
Aco005949	8.36583	6.36296	6.37845
Aco005950	0.43188000000000004	0.302647	0.200201
Aco005951	47.9765	13.5721	13.877
Aco005952	32.3148	12.7673	9.95399
Aco005953	3.77441	10.9675	9.09625
Aco005954	18.5059	16.6221	13.2937
Aco005955	3.9014300000000004	41.1898	45.5037
Aco005956	9.04156	8.4299	10.234
Aco005957	11.3441	9.669830000000001	10.3387
Aco005958	122.04	118.93299999999999	114.649
Aco005959	2.29462	2.60469	2.75616
Aco005960	0.0	0.0	0.0
Aco005961	0.0	0.0	0.0
Aco005962	72.843	93.0985	94.50200000000001
Aco005963	2.36813	3.52532	3.07762
Aco005964	3.10086	4.93189	0.0
Aco005965	0.0	0.0	0.0
Aco005966	6.51115	4.79988	4.6549
Aco005967	19.1788	1.23071	2.01911
Aco005968	29.8712	10.6023	13.044
Aco005969	109.771	167.829	161.016
Aco005970	24.3576	31.3526	31.811
Aco005971	0.0	0.5921310000000001	1.1634799999999998
Aco005972	27.2336	11.2614	6.92846
Aco005973	12.2069	3.5774	3.55326
Aco005974	3.5505699999999996	347.168	336.99199999999996
Aco005975	8.80722	8.61323	7.834110000000001
Aco005976	22.0583	27.0139	24.212
Aco005977	5.83892	2.34294	1.7814299999999998
Aco005978	1.6441	3.7604900000000003	3.90774
Aco005979	17.354	73.565	70.6862
Aco005980	2.0899	5.9844599999999994	5.60263
Aco005981	209.671	193.268	189.26
Aco005982	35.6809	63.1697	62.3987
Aco005983	4.056030000000001	1.8413700000000002	1.1119299999999999
Aco005984	22.2937	11.0586	8.95765
Aco005985	0.0	0.0	0.0
Aco005986	19.3201	25.9141	24.2285
Aco005987	19.7451	5.0399400000000005	6.1035
Aco005988	9.29952	9.87921	9.06081
Aco005989	0.528894	0.557938	0.486727
Aco005990	1.96566	4.4935	4.1963
Aco005991	30.4246	9.29008	9.42395
Aco005992	71.1531	38.7789	38.8235
Aco005993	30.6114	25.9138	24.8006
Aco005994	5.1931199999999995	9.94525	10.1532
Aco005995	4.3733900000000006	5.67901	5.18219
Aco005996	9.536010000000001	7.65671	8.09603
Aco005997	12.661	5.71823	4.491969999999999
Aco005998	10.1425	11.6281	11.4954
Aco005999	8.74394	141.16	153.865
Aco006000	5.57365	251.52900000000002	260.591
Aco006001	23.1797	374.913	425.095
Aco006002	0.05805790000000001	0.0	0.0
Aco006003	8.01033	8.158719999999999	8.407760000000001
Aco006004	0.0	0.0	0.0
Aco006005	41.809	35.9311	34.6777
Aco006006	12.5596	184.959	171.563
Aco006007	6.1391	11.1596	9.80584
Aco006008	34.0049	41.8558	39.6386
Aco006009	0.0	4.92595	5.02299
Aco006010	0.107954	9.96428	10.5894
Aco006011	0.12552	31.3793	26.2096
Aco006012	10.0436	26.9176	28.9582
Aco006013	0.470479	5.6098300000000005	2.8631900000000003
Aco006014	11.9415	13.2674	11.6349
Aco006015	2.1223799999999997	0.44344399999999995	0.493605
Aco006016	44.1071	0.315758	1.0473299999999999
Aco006017	4.748880000000001	3.03353	4.3438099999999995
Aco006018	0.0	18.3988	18.0695
Aco006019	0.490648	1.7398900000000002	2.4196
Aco006020	7.554239999999999	22.0143	18.2024
Aco006021	34.5144	35.5281	35.3636
Aco006022	4.83399	276.457	267.151
Aco006023	0.0	0.0	0.0
Aco006024	0.0	61.4557	62.592
Aco006025	31.9401	16.9246	17.1209
Aco006026	0.0	0.311907	0.0
Aco006027	3.07943	8.08025	6.76512
Aco006028	15.6725	16.0193	14.7764
Aco006029	41.9543	17.7103	16.5183
Aco006030	19.4675	8.73353	9.58971
Aco006031	12.6755	7.27407	7.15181
Aco006032	13.4211	0.0	0.0
Aco006033	37.9296	23.2507	23.5533
Aco006034	29.215	71.4427	69.1849
Aco006035	18.1703	16.1873	15.863
Aco006036	20.6779	33.9821	31.8814
Aco006037	37.0174	25.4061	22.1204
Aco006038	15.315	11.7657	13.4644
Aco006039	100.23100000000001	7.9668399999999995	8.44055
Aco006040	33.0672	73.9546	65.5373
Aco006041	5.24032	1.42844	1.64178
Aco006042	2.34734	12.4576	20.2717
Aco006043	23.9712	24.1649	25.6608
Aco006044	30.2263	31.5461	30.6683
Aco006045	11.0066	0.0	0.0
Aco006046	0.423208	1.23611	0.32096199999999997
Aco006047	0.0	0.0	0.0
Aco006048	0.0	0.0	0.0
Aco006049	0.0	0.0	0.0
Aco006050	0.230356	419.52099999999996	368.41900000000004
Aco006051	232.81900000000002	698.3510000000001	605.205
Aco006052	27.715999999999998	15.5306	15.698
Aco006053	13.9799	9.372010000000001	10.6017
Aco006054	0.763178	0.0	0.0
Aco006055	123.068	116.429	114.915
Aco006056	14.5982	109.536	98.6148
Aco006057	86.8821	147.886	154.359
Aco006058	1.13235	3.6557699999999995	7.580889999999999
Aco006059	0.43208900000000006	0.691153	0.227341
Aco006060	35.4841	104.365	103.852
Aco006061	0.0	0.0	0.0
Aco006062	0.0	0.0	0.0
Aco006063	11.9243	28.1833	30.259
Aco006064	4.2676300000000005	15.9874	15.2614
Aco006065	0.054445600000000004	0.612981	0.5134890000000001
Aco006066	53.9498	69.333	70.8621
Aco006067	2.90935	0.294354	0.616784
Aco006068	76.1023	63.8695	65.0728
Aco006069	12.3598	27.4337	28.6188
Aco006070	10.5498	26.6736	29.4086
Aco006071	11.0154	21.8784	21.613000000000003
Aco006072	40.3194	26.5034	28.7772
Aco006073	243.38400000000001	306.768	290.421
Aco006074	0.76046	0.93991	0.557116
Aco006075	8.46781	14.1107	16.1141
Aco006076	62.5824	31.5997	29.1453
Aco006077	0.909641	0.0	0.787065
Aco006078	13.6804	0.9503370000000001	0.478299
Aco006079	8.57118	2.25981	2.4605599999999996
Aco006080	46.4224	116.66799999999999	118.809
Aco006081	19.2737	11.3681	12.206
Aco006082	17.7927	9.60181	12.1381
Aco006083	11.4783	11.5526	11.6968
Aco006084	3.84786	7.3419	5.71635
Aco006085	25.4721	28.1693	27.0383
Aco006086	6.786169999999999	19.1482	15.378
Aco006087	0.702821	0.362237	0.647489
Aco006088	31.2391	42.2427	43.6192
Aco006089	1.41495	0.555343	0.878597
Aco006090	22.8843	29.6515	26.4235
Aco006091	0.274244	1.85752	5.28169
Aco006092	1.43087	9.75258	10.6775
Aco006093	34.832	21.4072	20.7025
Aco006094	134.782	148.67600000000002	153.744
Aco006095	52.1084	34.4929	37.9679
Aco006096	115.507	75.9666	68.3476
Aco006097	59.8461	118.443	135.576
Aco006098	25.2991	11.417	10.2909
Aco006099	53.1668	15.0811	15.2093
Aco006100	53.336000000000006	39.7617	47.2967
Aco006101	2.2107200000000002	7.16413	5.11515
Aco006102	0.295742	0.7042689999999999	0.0
Aco006103	11.3684	12.9144	14.0787
Aco006104	15.9028	8.63977	9.93394
Aco006105	5.26296	2.47547	1.8178400000000001
Aco006106	25.2229	103.905	101.46
Aco006107	2.2652099999999997	9.26565	8.206010000000001
Aco006108	8.889610000000001	38.2909	40.7046
Aco006109	6.48041	6.54854	5.98374
Aco006110	26.6295	23.0769	25.7944
Aco006111	81.5184	70.88600000000001	76.2161
Aco006112	19.4589	0.459883	1.0679100000000001
Aco006113	12.8095	1.56266	3.2338299999999998
Aco006114	5.26283	18.2655	19.2656
Aco006115	0.0	0.0	0.0
Aco006116	0.0	0.0	0.0
Aco006117	0.0540326	0.0	0.036833199999999996
Aco006118	6.85645	9.75195	10.777999999999999
Aco006119	0.0	0.0	0.0
Aco006120	0.0	0.0	0.0
Aco006121	14.6427	138.474	138.525
Aco006122	99.1566	464.765	441.202
Aco006123	13.7423	3.71288	4.20643
Aco006124	21.7799	22.7872	20.4043
Aco006125	0.607794	1.26014	0.31859699999999996
Aco006126	9.11183	0.7028760000000001	0.364109
Aco006127	0.0	0.0	0.0
Aco006128	126.68	361.51	295.22700000000003
Aco006129	11.7248	7.283869999999999	5.496569999999999
Aco006130	4.0747	1.9578400000000002	1.02288
Aco006131	0.0	0.0	0.0
Aco006132	4.18242	54.7864	50.0363
Aco006133	30.7794	20.6961	20.2054
Aco006134	4.08133	999.995	889.773
Aco006135	55.1089	61.9485	56.6841
Aco006136	18.2329	16.0217	15.6523
Aco006137	38.5607	20.316	22.4394
Aco006138	44.2534	171.122	142.735
Aco006139	17.9795	10.3872	8.068710000000001
Aco006140	2.8673900000000003	5.4653599999999996	5.8080099999999995
Aco006141	1.072	2.0331	1.26845
Aco006142	6.196000000000001	72.6693	80.1726
Aco006143	1.0459200000000002	0.43028599999999995	0.669756
Aco006144	27.8721	30.9273	33.1092
Aco006145	44.9226	16.9868	17.0697
Aco006146	45.8564	35.8478	36.9871
Aco006147	34.4705	14.3993	15.8256
Aco006148	0.11491400000000002	0.43133299999999997	0.24653200000000003
Aco006149	8.221210000000001	45.5614	47.1354
Aco006150	6.695139999999999	14.2297	13.3197
Aco006151	0.9772200000000001	1.55542	2.11888
Aco006152	163.65	266.966	237.572
Aco006153	5.352530000000001	12.8502	14.874
Aco006154	0.168606	0.0	0.0
Aco006155	0.0	1.12659	1.26946
Aco006156	0.0	12.0119	15.4523
Aco006157	12.0853	12.8258	12.2817
Aco006158	0.8393379999999999	9.618260000000001	9.70307
Aco006159	1.42505	0.0	0.338579
Aco006160	3.03192	4.02641	4.35119
Aco006161	0.5166229999999999	0.809395	0.450812
Aco006162	8.2978	6.413130000000001	6.634119999999999
Aco006163	29.4942	13.988	14.8559
Aco006164	0.6225569999999999	1.63677	1.74269
Aco006165	1.40955	0.500302	0.358188
Aco006166	9.26409	7.23515	7.2652600000000005
Aco006167	12.8827	0.8277200000000001	0.960216
Aco006168	35.6844	78.1381	74.6863
Aco006169	16.2921	10.6456	8.414
Aco006170	15.3452	38.5348	36.33
Aco006171	6.35384	6.71064	7.2524
Aco006172	14.4699	21.2176	15.3319
Aco006173	10.8865	1.6964099999999998	2.38301
Aco006174	20.07	16.8562	18.2899
Aco006175	10.3668	7.59825	7.21787
Aco006176	21.5265	30.1599	24.9388
Aco006177	3.87543	18.2383	20.3832
Aco006178	8.281889999999999	21.5031	20.3734
Aco006179	5.1801699999999995	6.9691399999999994	6.5255
Aco006180	35.4081	36.7671	34.584
Aco006181	2.97839	365.99300000000005	325.024
Aco006182	0.027991900000000004	7.28008	8.54266
Aco006183	0.195536	39.6546	41.653
Aco006184	19.8821	2.50727	1.3739
Aco006185	11.164000000000001	11.7505	10.1695
Aco006186	23.2477	33.6122	29.4444
Aco006187	0.041651	430.825	401.033
Aco006188	0.11254700000000001	2.86097	2.21912
Aco006189	12.6474	23.8725	25.3488
Aco006190	62.5299	102.689	94.0998
Aco006191	0.447982	0.0	0.0
Aco006192	13.8762	9.37318	10.8141
Aco006193	0.0	0.0	0.0
Aco006194	26.0006	20.9338	22.7564
Aco006195	15.3821	11.6346	11.0869
Aco006196	76.5372	0.0	0.601646
Aco006197	51.2527	10.1321	11.9217
Aco006198	50.3702	150.928	145.33100000000002
Aco006199	5.64884	30.2692	30.553
Aco006200	0.0	0.0	0.0
Aco006201	4.77806	7.335489999999999	6.94252
Aco006202	718.038	1112.45	1119.56
Aco006203	26.2808	26.6739	24.3767
Aco006204	7.63639	11.4253	10.5915
Aco006205	28.4461	10.609000000000002	10.4853
Aco006206	23.0785	7.15205	8.416
Aco006207	21.5994	0.336802	0.193478
Aco006208	14.4465	9.33307	7.74299
Aco006209	53.4091	62.2595	59.4022
Aco006210	0.0	0.0	2.9138900000000003
Aco006211	0.32393	2.91606	0.6038939999999999
Aco006212	43.7879	90.7387	89.20299999999999
Aco006213	7.71663	5.54547	6.7597
Aco006214	2.6356	2.00749	1.4661600000000001
Aco006215	3.7215199999999995	6.2601	4.16814
Aco006216	122.50399999999999	30.2505	29.2234
Aco006217	0.0	0.0	0.0
Aco006218	13.0074	26.0778	21.5174
Aco006219	27.1817	14.5704	15.6569
Aco006220	50.8414	29.5534	35.0752
Aco006221	0.6353260000000001	0.927851	1.8499299999999999
Aco006222	3.8311300000000004	14.8936	14.5605
